,XLB,XLE,XLC,XLF,USDOLLAR
2001-09-17 20:00:00,0.0,0.0,0.0,0.9999782408259403,2.1759174059596475e-05
2001-09-18 20:00:00,0.0,0.0,0.0,0.9999779601496277,2.203985037231845e-05
2001-09-19 20:00:00,0.0,0.0,0.0,0.9999777963796004,2.2203620399639157e-05
2001-09-20 20:00:00,0.0,0.0,0.0,0.9999767694549561,2.3230545043921772e-05
2001-09-23 20:00:00,0.0,0.0,0.0,0.9999904405116001,9.559488399777475e-06
2001-09-24 20:00:00,0.0,0.0,0.0,0.9999909120571254,9.087942874540042e-06
2001-09-25 20:00:00,0.0,0.0,0.0,0.9999910542765965,8.945723403472475e-06
2001-09-26 20:00:00,0.0,0.0,0.0,0.9999911399060603,8.86009393976465e-06
2001-09-27 20:00:00,0.0,0.0,0.0,0.9999912823153088,8.717684691226614e-06
2001-09-30 20:00:00,0.0,0.0,0.0,0.9999915105667239,8.489433276159182e-06
2001-10-01 20:00:00,0.0,0.0,0.0,0.9999914850679681,8.514932031899303e-06
2001-10-02 20:00:00,0.0,0.0,0.0,0.9999915997698313,8.40023016872509e-06
2001-10-03 20:00:00,0.0,0.0,0.0,0.9999917310016728,8.268998327163792e-06
2001-10-04 20:00:00,0.0,0.0,0.0,0.9999916639238157,8.336076184230817e-06
2001-10-07 20:00:00,0.0,0.0,0.0,0.9999914274081769,8.572591823060858e-06
2001-10-08 20:00:00,0.0,0.0,0.0,0.9999912288233851,8.771176614899915e-06
2001-10-09 20:00:00,0.0,0.0,0.0,0.9999913002002195,8.699799780458963e-06
2001-10-10 20:00:00,0.0,0.0,0.0,0.9999914338307148,8.566169285335249e-06
2001-10-11 20:00:00,0.0,0.0,0.0,0.9999915667648204,8.433235179637218e-06
2001-10-14 20:00:00,0.0,0.0,0.0,0.9999914311111033,8.568888896678633e-06
2001-10-15 20:00:00,0.0,0.0,0.0,0.9999914680754842,8.531924515836246e-06
2001-10-16 20:00:00,0.0,0.0,0.0,0.9999916032516231,8.396748376873324e-06
2001-10-17 20:00:00,0.0,0.0,0.0,0.9999915170881746,8.482911825421288e-06
